Site No,Region,Site Name,County,Alt,Grid Ref,GPS Grid Ref Start,Date-V1,Date-V2,Date-V3,Date-V4,Date-V5,V1,V2,V3,V4,V5,GPS Grid ref otter,LEAP,Mink present,Easting,Northing
2851,NW,"Overpool
Rivacre Brook",Cheshire,10,SJ382779,SJ3819777936,20/09/1979,04/09/1986,11/10/1993,15/01/2001,07/08/2009,N,N,N,N,N,,010,N,338200,377900
2852,NW,"Tarvin
Milton Brook",Cheshire,20,SJ493674,SJ4925167351,20/09/1979,05/09/1986,11/10/1993,15/01/2001,08/08/2009,N,N,N,N,P,SJ4929567341,010,N,349300,367400
2853,NW,"Tarvin Sands
Salters Brook",Cheshire,25,SJ499679,SJ4990367905,21/09/1979,05/09/1986,11/10/1993,15/01/2001,08/08/2009,N,N,N,N,N,,010,N,349900,367900
2854,NW,"Long Green
Ashton Brook",Cheshire,15,SJ479701,SJ4797070111,20/09/1979,05/09/1986,11/10/1993,11/01/2001,08/08/2009,N,N,N,N,N,,010,N,347900,370100
2855,NW,"Ford Farm
Afon Gowy",Cheshire,15,SJ482648,SJ4825364781,20/09/1979,05/09/1986,11/10/1993,15/01/2001,08/08/2009,N,N,P,N,P,SJ4825364781,010,P,348200,364800
2856,NW,"Bridge Trafford
Afon Gowy",Cheshire,10,SJ448711,SJ4491971047,20/09/1979,05/09/1986,11/10/1993,11/01/2001,08/08/2009,N,N,N,N,P,SJ4491971047,010,P,344800,371100
2857,NW,"Hapsford
Peckmill Brook",Cheshire,10,SJ481741,SJ4811174092,20/09/1979,05/09/1986,11/10/1993,11/01/2001,08/08/2009,N,N,N,N,N,,010,N,348100,374100
2858,NW,"Frankby
Greasby Brook",Cheshire,25,SJ249871,SJ2483287021,21/09/1979,04/09/1986,12/10/1993,16/01/2001,07/08/2009,N,N,N,N,N,,010,N,324900,387100
2859,NW,"Greasby
Arrowe Brook",Cheshire,20,SJ265869,SJ2647886903,21/09/1979,04/09/1986,12/10/1993,16/01/2001,07/08/2009,N,N,N,N,N,,010,N,326500,386900
2860,NW,"Moreton Station
The Birket",Cheshire,5,SJ258911,SJ2586991073,21/09/1979,04/09/1986,12/10/1993,16/01/2001,07/08/2009,N,N,N,N,N,,010,N,325800,391100
2861,NW,"Clatterbridge Hospital
Dibbinsdale Brook Trib",Cheshire,20,SJ321821,SJ3207282058,21/09/1979,04/09/1986,11/10/1993,16/01/2001,07/08/2009,N,N,N,N,N,,010,N,332100,382100
2862,NW,"Bromborough
Dibbinsdale Brook",Cheshire,15,SJ338806,SJ3377580630,21/09/1979,04/09/1986,11/10/1993,15/01/2001,07/08/2009,N,N,N,N,N,,010,N,333800,380600
2863,NW,"Bebbington
Dibbinsdale Brook",Cheshire,15,SJ345831,SJ3440183145,21/09/1979,04/09/1986,11/10/1993,16/01/2001,07/08/2009,N,N,N,N,N,,010,N,334500,383100
2864,SO,"Pegwell Bay, Shellness
River Stour",Kent,0,TR346625,TR 34641 62484,,06/10/1986,18/12/1993,23/02/2002,10/10/2009,X,N,N,N,N,,088,N,634600,162500
2865,SO,"Sandwich
North Stream",Kent,10,TR342576,TR 34822 57646,,06/10/1986,18/12/1993,25/02/2002,10/10/2009,X,N,N,N,N,,088,N,634200,157600
2866,SO,"Hacklinge
North Stream",Kent,10,TR322543,TR 34230 54140,,06/10/1986,18/12/1993,23/02/2002,10/10/2009,X,N,N,N,N,,088,N,632200,154300
2867,SO,"Richborough
River Stour",Kent,10,TR322593,TR 32223 59285,,06/10/1986,18/12/1993,25/02/2002,10/10/2009,X,N,N,N,N,,088,N,632200,159300
2868,SO,"Richborough
Stour Trib",Kent,10,TR322595,TR 32021 59429,,06/10/1986,18/12/1993,25/02/2002,10/10/2009,X,N,N,N,N,,088,N,632200,159500
2869,SO,"Minster Marsh
Main Drain",Kent,0,TR308634,TR 30867 63409,,07/10/1986,12/12/1993,25/02/2002,10/10/2009,X,N,N,N,N,,088,N,630800,163400
2870,SO,"Minster Marshes
River Stour",Kent,0,TR307627,TR 30824 62768,,07/10/1986,12/12/1993,25/02/2002,10/10/2009,X,N,N,N,N,,088,N,630700,162700
2871,SO,"Plucks Gutter
River Stour",Kent,5,TR269634,TR 26944 63404,,07/10/1986,11/12/1993,25/02/2002,11/10/2009,X,N,N,N,N,,088,N,626900,163400
2872,SO,"Plucks Gutter
Ash Level Main Drain",Kent,5,TR275631,TR 27199 63209,,07/10/1986,11/12/1993,25/02/2002,11/10/2009,X,N,N,N,N,,088,N,627500,163100
2873,SO,"Sarre
Sarre Penn",Kent,5,TR253648,TR 25286 64872,,07/10/1986,11/12/1993,22/02/2002,11/10/2009,X,N,N,N,N,,088,P,625300,164800
2874,SO,"Grays Farm
River Wantsum",Kent,5,TR236677,TR 23630 67598,,07/10/1986,11/12/1993,22/02/2002,11/10/2009,X,N,N,N,N,,088,N,623600,167700
2875,SO,"Grays Farm
North Stream",Kent,5,TR233682,TR 22998 67772,,07/10/1986,11/12/1993,22/02/2002,11/10/2009,X,N,N,N,N,,088,N,623300,168200
2876,SO,"Reculver Sluice
River Wantsum",Kent,5,TR243694,TR 24286 69375,,07/10/1986,11/12/1993,22/02/2002,11/10/2009,X,N,N,N,N,,088,N,624300,169400
2877,SO,"Chislet
Sarre Penn",Kent,10,TR225636,TR 22477 63663,,08/10/1986,10/12/1993,22/02/2002,09/10/2009,X,N,N,N,N,,088,N,622500,163600
2878,SO,"Preston Street
Little Stour",Kent,10,TR242620,TR 24234 62045,,08/10/1986,10/12/1993,24/02/2002,09/10/2009,X,N,N,N,N,,088,P,624200,162000
2879,SO,"Deerson Farm
Little Stour",Kent,10,TR235598,TR 23455 59752,,08/10/1986,09/12/1993,24/02/2002,09/10/2009,X,N,P,N,N,,088,N,623500,159800
2880,SO,"Wingham
Little Stour Trib",Kent,10,TR244578,TR 24359 57854,,08/10/1986,09/12/1993,24/02/2002,09/10/2009,X,N,N,N,N,,088,N,624400,157800
2881,SO,"Little Bourne
Little Stour/Nailbourne",Kent,10,TR208569,TR 20856 56970,,08/10/1986,09/12/1993,24/02/2002,09/10/2009,X,N,N,N,N,,088,N,620800,156900
2882,SO,"Patrixbourne
Nailbourne",Kent,20,TR187547,TR 18769 54747,,08/10/1986,09/12/1993,24/02/2002,08/10/2009,X,N,N,N,N,,088,N,618700,154700
2883,SO,"Kingston
Nailbourne",Kent,35,TR199515,TR 19966 51479,,08/10/1986,09/12/1993,23/02/2002,08/10/2009,X,N,N,N,O,,088,O,619900,151500
2884,SO,"Westbere Marshes
Great Stour",Kent,10,TR191604,TR 19778 60401,,10/10/1986,08/12/1993,22/02/2002,09/10/2009,X,P,P,N,N,,088,P,619100,160400
2885,SO,Stodmarsh NNR,Kent,10,TR223615,TR 22319 61541,,10/10/1986,08/12/1993,24/02/2002,09/10/2009,X,N,N,N,N,,088,P,622300,161500
2886,SO,"Stodmarsh NNR
Great Stour",Kent,10,TR220621,TR 22031 62084,,10/10/1986,08/12/1993,24/02/2002,09/10/2009,X,N,N,N,N,,088,P,622000,162100
2887,SO,"Tile Lodge
Sarre Penn",Kent,15,TR191625,TR 19087 62461,,11/10/1986,08/12/1993,22/02/2002,09/10/2009,X,N,N,N,N,,088,N,619100,162500
2888,SO,"Tyler Hill
Sarre Penn",Kent,30,TR146606,TR 14671 60691,,11/10/1986,08/12/1993,21/02/2002,08/10/2009,X,N,N,N,N,,088,N,614600,160600
2889,SO,"Canterbury
River Stour",Kent,20,TR143576,TR 14261 57653,,11/10/1986,07/12/1993,21/02/2002,08/10/2009,X,N,N,N,N,,088,N,614300,157600
2890,SO,"Milton Manor
River Stour",Kent,20,TR120561,TR 12094 56123,,11/10/1986,07/12/1993,21/02/2002,08/10/2009,X,N,N,N,N,,088,N,612000,156100
2891,SO,"Bagham
Great Stour",Kent,25,TR077533,TR 07702 53347,,12/10/1986,07/12/1993,23/02/2002,08/10/2009,X,N,N,N,N,,088,N,607700,153300
2892,SO,"Godmersham
Great Stour",Kent,29,TR063503,TR 06275 50400,,12/10/1986,07/12/1993,23/02/2002,08/10/2009,X,N,P,N,N,,088,N,606300,150300
2893,SO,Graveney Dyke,Kent,10,TR057628,TR 05717 62868,,12/10/1986,06/12/1993,21/02/2002,07/10/2009,X,N,N,N,N,,087,N,605700,162800
2894,SO,Seasalter Dyke,Kent,0,TR075648,TR 07427 64794,,12/10/1986,06/12/1993,21/02/2002,08/10/2009,X,N,N,N,N,,087,N,607500,164800
2895,SO,Faversham Creek,Kent,0,TR007627,TR 00803 62894,,13/10/1986,06/12/1993,25/01/2002,07/10/2009,X,N,N,N,N,,087,N,600700,162700
2896,SO,"Capel Fleet
Isle of Sheppey",Kent,5,TR009691,TR 00996 69067,,13/10/1986,06/12/1993,27/01/2002,07/10/2009,X,N,N,N,N,,087,N,600900,169100
2897,SO,"The Ferry Inn
Isle of Sheppey",Kent,0,TR015657,TR 01469 657763,,13/10/1986,06/12/1993,27/01/2002,07/10/2009,X,N,N,N,N,,087,N,601500,165700
2898,SO,"Shellness
Isle of Sheppey",Kent,0,TR050673,TR 05429 67841,,13/10/1986,06/12/1993,27/01/2002,07/10/2009,X,N,N,N,N,,087,N,605000,167300
2899,AN,"Limbourne Creek
Blackwater Estuary",Essex,10,TL863046,TL86260471,,25/10/1986,03/01/1994,08/04/2000,09/10/2009,X,N,N,N,N,,067,N,586300,204600
2900,AN,Mundon Wash,Essex,10,TL868033,TL86750336,,26/10/1986,03/01/1994,08/04/2000,09/10/2009,X,N,N,N,N,,067,N,586800,203300
2901,AN,Limbourne Creek,Essex,10,TL872052,TL87210507,,26/10/1986,03/01/1994,08/04/2000,09/10/2009,X,N,N,N,N,,067,N,587200,205200
2902,AN,Mundon Creek Dyke,Essex,10,TL892022,TL89440224,,26/10/1986,03/01/1994,07/04/2000,13/10/2009,X,N,N,N,N,,067,N,589200,202200
2903,AN,"Mindon Stone Point
Blackwater Estuary",Essex,0,TL914047,TL91120467,,26/10/1986,04/01/1994,08/04/2000,13/10/2009,X,N,N,N,N,,067,N,591400,204700
2904,AN,"Steeple Creek
Blackwater Estuary",Essex,0,TL933047,TL93350448,,27/10/1986,04/01/1994,07/04/2000,13/10/2009,X,N,N,N,N,,067,N,593300,204700
2905,AN,"St Lawrence Bay
Blackwater Estuary",Essex,0,TL963057,TL96040553,,27/10/1986,04/01/1994,07/04/2000,13/10/2009,X,N,N,N,N,,067,N,596300,205700
2906,AN,Bradwell Brook,Essex,10,TL993051,TL99310508,,27/10/1986,04/01/1994,07/04/2000,13/10/2009,X,N,N,N,N,,069,N,599300,205100
2907,AN,"Dengie Marsh
Asheldham Brook",Essex,10,TL970010,TL97060099,,27/10/1986,04/01/1994,03/04/2000,13/10/2009,X,N,N,N,N,,069,N,597000,201000
2908,AN,"Dengie Marshes
Asheldham Brook",Essex,0,TL997001,TL99730002,,27/10/1986,05/01/1994,03/04/2000,13/10/2009,X,N,N,N,N,,069,N,599700,200100
2909,AN,"Heybridge Basin pits
Blackwater Estuary",Essex,10,TL870064,TL86870660,,25/10/1986,05/01/1994,08/04/2000,15/10/2009,X,N,N,N,P,TL86090653,067,N,587000,206400
2910,AN,"Decoy Point
Blackwater Estuary",Essex,10,TL891073,TL89110732,,25/10/1986,05/01/1994,09/04/2000,15/10/2009,X,N,N,N,N,,067,N,589100,207300
2911,AN,"Rolls Farm
Sea Wall Creek",Essex,1,TL943083,TL94310833,,27/10/1986,05/01/1994,09/04/2000,14/10/2009,X,N,N,N,N,,067,N,594300,208300
2912,AN,"Shinglehead Point
Blackwater Estuary",Essex,0,TL987103,TL98641024,,28/10/1986,06/01/1994,10/04/2000,14/10/2009,X,N,N,N,N,,067,N,598700,210300
2913,AN,"Old Hall Creek
Blackwater Estuary",Essex,0,TL955117,TL95471176,,28/10/1986,06/01/1994,09/04/2000,14/10/2009,X,N,N,N,N,,067,N,595500,211700
2914,AN,Salcot Creek,Essex,1,TL960130,TL96151297,,28/10/1986,06/01/1994,09/04/2000,14/10/2009,X,N,N,N,N,,067,N,596000,213000
2915,AN,"Salcott Creek
Blackwater Estuary",Essex,0,TL963130,TL95631302,,25/10/1986,06/01/1994,10/04/2000,14/10/2009,X,N,N,N,N,,067,N,596300,213000
2916,AN,"Joyces Fleet
Old Hall Marshes",Essex,10,TL973123,TL95711214,,29/10/1986,07/01/1994,10/04/2000,14/10/2009,X,N,N,N,N,,067,N,597300,212300
2917,AN,"Pennyhole Fleet
Old Hall Marshes",Essex,1,TL990120,TL99121185,,29/10/1986,07/01/1994,10/04/2000,14/10/2009,X,N,N,N,N,,067,N,599000,212000
2918,AN,"Abberton Reservoir
Roman river",Essex,15,TL951165,TL95001673,,22/10/1986,07/01/1994,12/01/2000,12/10/2009,X,N,N,N,N,,067,N,595100,216500
2919,AN,"Layer Causeway
Abberton Reservoir",Essex,20,TL963176,TL96301735,,22/10/1986,07/01/1994,11/01/2000,12/10/2009,X,N,N,N,N,,067,N,596300,217600
2920,AN,"Dam End
Abberton Reservoir",Essex,22,TL985197,TL98511971,,22/10/1986,08/01/1994,11/01/2000,12/10/2009,X,N,N,N,N,,067,N,598500,219700
2921,AN,"Abberton Outfall
Roman River",Essex,10,TL997203,TL99101999,,22/10/1986,08/01/1994,11/01/2000,12/10/2009,X,N,N,N,P,TL99462010,067,N,599700,220300
2922,AN,"Birch Hall Lake
Roman River",Essex,20,TL952207,TL95272062,,23/10/1986,08/01/1994,09/02/2000,12/10/2009,X,N,N,N,P,TL95262065,067,N,595200,220700
2923,AN,"Heckfordbridge
Roman River",Essex,20,TL946218,TL94642180,,23/10/1986,08/01/1994,09/02/2000,12/10/2009,X,N,N,N,P,TL94642180,067,N,594600,221800
2924,AN,"Copford
Roman River",Essex,20,TL935238,TL93522390,,20/10/1986,09/01/1994,17/01/2000,12/10/2009,X,N,N,N,N,,067,P,593500,223800
2925,AN,"Fordstreet
River Colne",Essex,14,TL928271,TL92902712,,20/10/1986,05/01/1994,09/02/2000,11/10/2009,X,N,P,N,P,TL92902712,067,P,592800,227100
2926,AN,"St Botolphs Brook Confluence
River Colne",Essex,15,TL962262,TL96032639,,20/10/1986,09/01/1994,20/01/2000,11/10/2009,X,N,N,N,P,TL96032639,067,N,596200,226200
2927,AN,"Colchester Park
River Colne",Essex,10,TL997277,TL99732566,,20/10/1986,09/01/1994,19/01/2000,11/10/2009,X,N,N,N,N,,067,N,599700,227700
2928,AN,"Tiptree
Layer Brook",Essex,30,TL911155,TL91121556,,22/10/1986,10/01/1994,17/01/2000,12/10/2009,X,N,N,N,N,,067,N,591100,215500
2929,AN,Domsey Brook,Essex,31,TL909213,TL90882138,,23/10/1986,10/01/1994,17/01/2000,12/10/2009,X,N,N,N,N,,067,N,590900,221300
2930,AN,"Domseybrook Confluence
River Blackwater",Essex,20,TL868188,TL86831886,,23/10/1986,10/01/1994,17/01/2000,12/10/2009,X,N,N,P,N,,067,N,586800,218800
2931,AN,"Kelvedon
River Blackwater",Essex,20,TL860181,TL86081811,,23/10/1986,10/01/1994,17/01/2000,10/10/2009,X,N,N,N,N,,067,N,586000,218100
2932,AN,"Rivenhall
River Blackwater",Essex,16,TL844158,TL84391582,,23/10/1986,10/01/1994,31/01/2000,10/10/2009,X,N,N,P,P,TL84391582,067,N,584400,215800
2933,AN,"Blue Mills Wickham Bishop
River Blackwater",Essex,15,TL830131,TL83021310,,24/10/1986,11/01/1994,31/01/2000,15/10/2009,X,N,N,P,P,1) TL83031321    2) TL82991306,067,P,583000,213100
2934,AN,"Chelmer Confluence
River Blackwater",Essex,10,TL840084,TL84190824,,24/10/1986,11/01/1994,31/01/2000,09/10/2009,X,N,N,P,P,TL83930842,067,N,584000,208400
2935,AN,"Hoe Mill Woodham Water
River Chelmer",Essex,10,TL808082,TL80800824,,24/10/1986,11/01/1994,31/01/2000,09/10/2009,X,N,N,P,P,"track TL80820820,        spraint TL8076 0817",067,N,580800,208200
2936,AN,"Hatfield Peverel
River Ter",Essex,18,TL789107,TL78851073,,29/10/1986,11/01/1994,26/01/2000,09/10/2009,X,N,N,P,P,TL78941068,067,N,578900,210700
2937,AN,River Chelmer,Essex,14,TL777090,TL77690902,,29/10/1986,12/01/1994,31/01/2000,09/10/2009,X,N,N,P,P,TL77690902,067,N,577700,209000
2938,AN,"Barnes Farm, Chelmsford
River Chelmer",Essex,20,TL720063,TL71930622,,30/10/1986,12/01/1994,25/01/2000,08/10/2009,X,N,N,P,P,TL71930622,067,N,572000,206300
2939,AN,"Chelmsford
River Can",Essex,25,TL690072,TL69000718,,30/10/1986,12/01/1994,26/01/2000,08/10/2009,X,N,N,N,P,TL68970714,067,N,569000,207200
2940,AN,River Wid,Essex,35,TL689021,TL68870209,,30/10/1986,12/01/1994,26/01/2000,09/10/2009,X,N,N,N,P,TL69080241,067,N,568900,202100
2941,AN,"Patience Bridge
Roxwell Brook",Essex,48,TL632071,TL63240710,,31/10/1986,13/01/1994,10/02/2000,08/10/2009,X,N,N,N,N,,067,N,563200,207100
2942,AN,"Chignall St James
River Can",Essex,40,TL667097,TL66780970,,31/10/1986,13/01/1994,10/02/2000,08/10/2009,X,N,N,P,N,,067,N,566700,209700
2943,AN,"Farmbridge End
River Can",Essex,48,TL631112,TL62821132,,31/10/1986,13/01/1994,10/02/2000,08/10/2009,X,N,N,N,N,,067,P,563100,211200
2944,TH,"Hales End
River Roding",Essex,58,TL585125,TL 58480 12748,,01/11/1986,13/01/1994,11/04/2000,17/09/2009,X,N,N,N,N,,116,P,558500,212500
2945,TH,"Birds Green
River Roding",Essex,55,TL590090,TL 58968 08916,,01/11/1986,14/01/1994,11/04/2000,17/09/2009,X,N,N,P,N,,116,P,559000,209000
2946,TH,Chipping Ongar,Essex,45,TL563046,TL 56295 04522,,01/11/1986,14/01/1994,11/04/2000,17/09/2009,X,N,N,P,N,,116,P,556300,204600
2947,TH,"Langford Bridge
River Roding",Essex,40,TL559014,TL 55873 01438,,01/11/1986,14/01/1994,11/04/2000,17/09/2009,X,N,N,P,N,,116,N,555900,201400
2948,TH,"Cripsey Brook
River Roding",Essex,55,TL533069,TL 53340 06860,,01/11/1986,14/01/1994,11/04/2000,17/09/2009,X,N,N,N,N,,116,P,553300,206900
2949,TH,"Stort
Pincey Brook",Essex,65,TL545137,TL 54497 13668,,02/11/1986,15/01/1994,12/04/2000,17/09/2009,X,N,N,N,N,,117,N,554500,213700
2950,TH,Pincey Brook,Essex,50,TL512132,TL 51165 13173,,02/11/1986,15/01/1994,12/04/2000,17/09/2009,X,N,N,N,N,,117,P,551200,213200
2951,TH,"Bridgefort Farm
Pincey Brook",Essex,70,TL545187,TL 54503 18693,,03/11/1986,15/01/1994,12/04/2000,17/09/2009,X,N,N,N,N,,117,N,554500,218700
2952,TH,"Great Canfield
River Roding",Essex,71,TL594177,TL 59523 17632,,03/11/1986,15/01/1994,12/04/2000,17/09/2009,X,N,N,N,N,,116,P,559400,217700
2953,TH,"Stanstead Mountflitchet
River Stort",Essex,64,TL503239,TL 50369 23893,,03/11/1986,16/01/1994,12/04/2000,17/09/2009,X,N,N,N,N,,117,P,550300,223900
2954,AN,"Monk Street
River Chelmer",Essex,66,TL608288,TL60812822,,03/11/1986,16/01/1994,14/02/2000,08/09/2009,X,N,N,P,P,TL60812822,067,N,560800,228800
2955,AN,"Great Easton
River Chelmer",Essex,60,TL603253,TL6034 2531,,04/11/1986,16/01/1994,14/02/2000,08/09/2009,X,N,N,N,P,TL60372529,067,N,560300,225300
2956,AN,"Great Dunmow
River Chelmer",Essex,45,TL637208,TL63742087,,04/11/1986,16/01/1994,11/02/2000,08/09/2009,X,N,N,N,P,TL63722098,067,N,563700,220800
2957,AN,"Stebbing
Stebbing Brook",Essex,55,TL661238,TL66102378,,04/11/1986,17/01/1994,11/02/2000,08/09/2009,X,N,N,N,N,,067,P,566100,223800
2958,AN,"Hartford End
River Chelmer",Essex,39,TL689174,TL68881746,,04/11/1986,17/01/1994,11/02/2000,10/10/2009,X,N,N,N,P,TL68961743,067,N,568900,217400
2959,AN,"Thistley Green
River Ter",Essex,56,TL703195,TL70331492,,07/11/1986,17/01/1994,11/02/2000,10/10/2009,X,N,N,N,N,,067,N,570300,219500
2960,AN,"Lyons Hall
River Ter",Essex,37,TL731157,TL73161567,,07/11/1986,17/01/1994,11/02/2000,10/10/2009,X,N,N,N,P,TL72811589,067,N,573100,215700
2961,AN,"Terling Place
River Ter",Essex,28,TL771167,TL77101471,,07/11/1986,18/01/1994,11/02/2000,10/10/2009,X,N,N,P,P,TL77181456,067,N,577100,216700
2962,AN,"White Notley
River Brain",Essex,29,TL787185,TL78701847,,07/11/1986,18/01/1994,25/01/2000,10/10/2009,X,N,N,N,N,,067,N,578700,218500
2963,AN,River Chelmer,Essex,28,TL715104,TL71421029,,31/10/1986,18/01/1994,26/01/2000,08/10/2009,X,N,N,N,P,TL71421029,067,N,571500,210400
2964,AN,"Braintree 
Pods Brook",Essex,50,TL741229,TL74082289,,06/11/1986,19/01/1994,01/02/2000,07/09/2009,X,N,N,N,P,TL74082289,067,P,574100,222900
2965,AN,"Shalford Green
Pods Brook",Essex,65,TL709268,TL70882674,,06/11/1986,19/01/1994,01/02/2000,07/09/2009,X,N,N,N,N,,067,N,570900,226800
2966,AN,"Gambers Hall
River Pant",Essex,70,TL658329,TL65863292,,05/11/1986,19/01/1994,14/02/2000,08/09/2009,X,N,N,N,P,TL66153259,067,P,565800,232900
2967,AN,"Wethersfield
River Pant",Essex,55,TL700311,TL70023105,,05/11/1986,19/01/1994,26/01/2000,07/09/2009,X,N,N,N,P,TL70023105,067,N,570000,231100
2968,AN,"Rotten End
River Blackwater",Essex,48,TL730291,TL73052916,,05/11/1986,20/01/1994,26/01/2000,07/09/2009,X,N,N,N,P,TL73042918,067,P,573000,229100
2969,AN,"Braintree
River Braintree",Essex,40,TL750257,TL77572560,,06/11/1986,20/01/1994,01/02/2000,07/09/2009,X,N,N,N,N,,067,N,575000,225700
2970,AN,"Covenbrook Hall
River Blackwater",Essex,38,TL790244,TL79012444,,07/11/1986,20/01/1994,01/02/2000,07/09/2009,X,N,N,N,P,TL79132447,067,N,579000,224400
2971,AN,"Bradwell
River Blackwater",Essex,35,TL815227,TL81522274,,24/10/1986,20/01/1994,25/01/2000,10/10/2009,X,N,N,P,P,TL81522274,067,N,581500,222700
2972,AN,Rivenhall Lake,Essex,34,TL822188,TL82281886,,24/10/1986,21/01/1994,25/01/2000,10/10/2009,X,N,N,N,P,TL82281886,067,N,582200,218800
2973,AN,"Coggeshall
River Blackwater",Essex,25,TL850224,TL84942237,,23/10/1986,21/01/1994,09/02/2000,10/10/2009,X,N,N,N,P,TL85272244,067,N,585000,222400
2974,AN,"Swanscombe Farm
River Colne",Essex,22,TL880285,TL87542839,,20/10/1986,21/01/1994,20/01/2000,11/10/2009,X,N,N,N,P,TL87782849,067,N,588000,228500
2975,AN,"Colne Engine
River Colne",Essex,25,TL847298,TL84822987,,19/10/1986,21/01/1994,20/01/2000,11/10/2009,X,N,N,N,P,TL84822987,067,N,584700,229800
2976,AN,"Stownebridge Mill
River Colne Trib",Essex,30,TL846292,TL84522916,,19/10/1986,22/01/1994,20/01/2000,11/10/2009,X,N,N,N,P,TL84522916,067,N,584600,229200
2977,AN,Bourne Brook,Essex,45,TL809286,TL80902862,,19/10/1986,22/01/1994,14/02/2000,11/10/2009,X,N,N,N,P,TL80792864,067,N,580900,228600
2978,AN,Gosfield Lake,Essex,60,TL772290,TL77202901,,06/11/1986,22/01/1994,14/02/2000,07/09/2009,X,N,N,N,N,,067,P,577200,229000
2979,AN,"Gosfield Lake
Bourne Brook",Essex,60,TL763298,TL76362985,,06/11/1986,22/01/1994,14/02/2000,07/09/2009,X,N,N,N,P,,067,P,576300,229800
2980,AN,"Does Corner
River Colne",Essex,35,TL806321,TL80603209,,19/10/1986,22/01/1994,20/01/2000,11/10/2009,X,N,N,N,P,TL80603209,067,N,580600,232100
2981,AN,"Castle Headingham
River Colne",Essex,42,TL781350,TL78133508,,13/10/1986,23/01/1994,15/02/2000,05/09/2009,X,N,N,P,P,TL78133508,067,P,578100,235000
2982,AN,"Great Yeldham
River Colne",Essex,50,TL762377,TL76243773,,26/10/1986,23/01/1994,17/02/2000,05/09/2009,X,N,N,N,P,TL76243773,067,P,576200,237700
2983,AN,"Stoke by Clare
River Stour",Essex/Suffolk,52,TL744430,TL74424300,,14/10/1986,23/01/1994,26/01/2000,05/09/2009,X,N,N,N,P,TL74424300,067,N,574400,243000
2984,AN,River Stour,Essex Suffolk,56,TL707438,TL70794390,,13/10/1986,23/01/1994,17/02/2000,06/09/2009,X,N,N,N,P,TL70794390,067,N,570700,243800
2985,AN,"Kedlington
River Stour",Suffolk,58,TL704469,TL70384693,,13/10/1986,24/01/1994,17/02/2000,06/09/2009,X,N,N,P,P,,067,P,570400,246900
2986,AN,"Great Thurlow
River Stour",Suffolk,70,TL682496,TL68214976,,13/10/1986,24/01/1994,17/02/2000,06/09/2009,X,N,N,N,P,TL68134987,067,P,568200,249600
2987,AN,"Barham Hall
River Granta",Cambs,45,TL572464,TL57154633,,12/10/1986,24/01/1994,17/02/2000,06/09/2009,X,N,N,N,P,TL57154633,071,P,557200,246400
2988,AN,"Great Abington
River Granta",Cambs,25,TL520493,TL52014928,,12/10/1986,23/01/1994,31/03/2000,06/09/2009,X,N,P,N,P,TL52014928,071,N,552000,249300
2989,AN,"Little Chesterford
River Cam",Essex,40,TL514419,TL51434192,,12/10/1986,23/01/1994,07/05/2000,06/09/2009,X,N,P,N,N,,071,N,551400,241900
2990,AN,"Audley End
River Cam",Essex,45,TL521380,TL52173803,,12/10/1986,22/01/1994,06/04/2000,06/09/2009,X,N,P,P,N,,071,P,552100,238000
2991,AN,"Debden Hall Lake
DebdenWater",Essex,76,TL549333,TL54893332,,12/10/1986,25/11/1994,17/02/2000,08/09/2009,X,N,N,N,N,,071,N,554900,233300
2992,AN,River Pant,Essex,76,TL612371,TL6128 3710,,13/10/1986,25/01/1994,17/02/2000,06/09/2009,X,N,N,N,P,TL61153718,067,N,561200,237100
2993,AN,"Cavendish
River Stour",Suffolk,38,TL799456,TL79914554,,14/10/1986,25/01/1994,26/01/2000,05/09/2009,X,N,N,N,P,TL80044560,067,N,579900,245600
2994,AN,"Glemsford
River Stour",Suffolk Essex,35,TL839465,TL83914659,,15/10/1986,25/01/1994,16/02/2000,05/09/2009,X,N,N,N,P,TL83914659,067,P,583900,246500
2995,AN,"Glemsford
River Glem",Suffolk,35,TL849478,TL84864777,,15/10/1986,26/01/1994,03/02/2000,04/09/2009,X,N,N,N,P,TL84864777,067,P,584900,247800
2996,AN,"Long Melford
River Stour/Chad Brook",Essex/Suffolk,30,TL858455,TL85774552,,15/10/1986,26/01/1994,03/02/2000,05/09/2009,X,N,N,P,P,TL85774552,067,N,585800,245500
2997,AN,"Acton Place
Chad Brook",Suffolk,40,TL880462,TL88014623,,16/10/1986,26/01/1994,04/02/2000,04/09/2009,X,N,N,P,P,TL88014623,067,P,588000,246200
2998,AN,"Rowhedge Farm
Chad Brook",Suffolk,50,TL874497,TL84464976,,16/10/1986,26/01/1994,04/02/2000,04/09/2009,X,N,N,N,P,TL84464976,067,N,587400,249700
2999,AN,"Belchamp brook Confluence
River Stour",Essex/Suffolk,27,TL861424,TL86104239,,16/10/1986,27/01/1994,03/02/2000,05/09/2009,X,N,N,N,P,TL86104239,067,P,586100,242400
3000,AN,"Largess Farm
Belchamp brook",Essex,50,TL820397,TL81973967,,14/10/1986,27/01/1994,03/02/2000,05/09/2009,X,N,N,N,N,,067,N,582000,239700
3001,AN,"Sudbury
River Stour",Essex/Suffolk,28,TL878409,TL87834093,,16/10/1986,27/01/1994,28/01/2000,05/09/2009,X,N,N,N,P,TL87834093,067,P,587800,240900
