Site No,Region,Site Name,County,Alt,Grid Ref,GPS Grid Ref Start,Date-V1,Date-V2,Date-V3,Date-V4,Date-V5,V1,V2,V3,V4,V5,GPS Grid ref otter,LEAP,Mink present,Easting,Northing
0058,WE,"Pill Bridge 
River Yeo",Somerset,12,ST500234,ST 50009 23398,27/09/1977,09/10/1984,25/10/1991,20/09/2001,06/11/2009,N,N,N,P,P,ST 50249 23577,106,N,350000,123400
0058NV ,TR,"Frankley
Griffins Brook",West Mids,160,SP013801,SP01318010,,,,10/07/2000,18/11/2009,O,O,O,N,N,,035,N,401300,280100
0059,WE,"Specklington
River Cam",Somerset,20,ST565239,ST 56514 23944,28/09/1977,09/10/1984,25/10/1991,20/02/2001,06/11/2009,N,N,N,P,P,ST 56514 23944,106,N,356500,123900
0059NV ,TR,"California
Bourn Brook",West Mids,144,SP020831,SP02088318,,,,10/07/2000,18/11/2009,O,O,O,N,N,,035,N,402000,283100
0060,WE,"Lower Farm
River Yeo",Somerset,20,ST565213,ST 56639 21380,28/09/1977,09/10/1984,25/10/1991,20/02/2001,06/11/2009,N,N,N,P,P,ST 56566 21542,106,N,356500,121300
0060NV ,TR,"Birmingham
River Cole",West Mids,125,SP098802,SP09758032,,,,11/07/2000,16/11/2009,O,O,O,N,N,,035,N,409800,280200
0061,WE,"Yeovil
River Yeo",Somerset,25,ST573160,ST 57326 16021,28/09/1977,11/10/1984,25/10/1991,20/02/2001,06/11/2009,N,N,N,P,P,ST 57222 15917,106,N,357300,116000
0061AN ,TR,"Birmingham
River Cole",West Mids,122,SP110851,SP11098516,,,,11/07/2000,16/11/2009,O,O,O,N,N,,035,N,411000,285100
0062,WE,"Bomers Bridge
RiverYeo tributary",Somerset,90,ST672212,ST 67186 21271,28/09/1977,31/10/1984,27/10/1991,20/02/2001,07/11/2009,N,N,N,P,P,ST 67197 21298,106,N,367200,121200
0062NV ,TR,"Castle Bromwich
River Cole",West Mids,91,SP143885,SP14358853,,,,13/07/2000,17/11/2009,O,O,O,N,N,,035,N,414300,288500
0063,WE,"Horsington Marsh
Bow Brook",Somerset,60,ST715245,ST 71558 24613,28/09/1977,10/10/1984,06/11/1991,20/02/2001,07/11/2009,N,N,N,P,P,ST 71558 24613,112,N,371500,124500
0063NV ,TR,"Chelmsley Wood
River Cole",West Mids,80,SP181874,SP18098739,,,,18/07/2000,12/11/2009,O,O,O,N,N,,035,N,418100,287400
0064,WE,"Stockbridge Farms
River Yeo tributary",Dorset,75,ST640114,ST 64028 11421,29/09/1977,11/10/1984,27/10/1991,17/10/2000,07/11/2009,N,N,N,N,P,ST 64028 11421,106,N,364000,111400
0064NV ,TR,"Walsall
Rushall Canal",West Mids,137,SP036978,SP03669785,,,,30/08/2000,17/11/2009,O,O,O,N,N,,035,N,403600,297800
0065,WE,"Stake Ford Cross
River Yeo tributary",Dorset,58,ST614099,ST 61417 09995,29/09/1977,11/10/1984,27/10/1991,17/10/2000,08/11/2009,N,N,P,N,P,ST 61434 09984,106,N,361400,109900
0065NV ,TR,"South Birmingham
Stratford Canal",West Mids,152,SP055795,SP05587947,,,,11/07/2000,18/11/2009,O,O,O,N,N,,035,N,405500,279500
0066,WE,"Thornford Halt
Wriggle River",Dorset,40,ST589130,ST 59022 13039,29/09/1977,11/10/1984,27/10/1991,04/10/2000,06/11/2009,N,N,P,P,P,ST 59018 12939,106,N,358900,113000
0066NV ,TR,"Warstock
Stratford Canal",West Mids,135,SP099787,SP09987873,,,,11/07/2000,16/11/2009,O,O,O,N,N,,035,N,409900,278700
0067,WE,Sutton Bingham Reservoir,Somerset,60,ST549110,ST 54678 11254,29/09/1977,31/10/1984,27/10/1991,20/02/2001,08/11/2009,N,N,N,P,P,ST 54660 11251,106,N,354900,111000
0067NV ,TR,"Birmingham
Bham and Fazeley Canal",West Mids,87,SP127909,SP12319084,,,,13/07/2000,17/11/2009,O,O,O,N,N,,035,N,412700,290900
0068,WE,"Batcombe
Wriggle River",Dorset,96,ST618059,ST 61917 05941,29/09/1977,11/10/1984,27/10/1991,17/10/2000,08/11/2009,N,N,N,N,P,ST 61917 05941,106,N,361800,105900
0068NV,TR,"Hamstead
Tame Valley Canal",West Mids,125,SP048931,SP04839314,,,,10/07/2000,17/11/2009,O,O,O,N,N,,035,N,404800,293100
0069,WE,"Melbury Osmond
River Yeo tributary",Dorset,70,ST571085,ST 57145 08530,30/09/1977,30/10/1984,27/10/1991,04/10/2000,08/11/2009,N,N,N,N,P,ST 57224 08488,106,N,357100,108500
0069NV ,TR,"Edgbaston
Worcester and Bham Canal",West Mids,140,SP049843,SP04978439,,,,31/07/2000,18/11/2009,O,O,O,N,N,,035,N,404900,284300
0070,WE,"Hardington Marsh
Broad River",Somerset,45,ST503107,ST 50443 10744,30/09/1977,31/10/1984,27/10/1991,20/02/2001,08/11/2009,N,N,N,P,P,ST 50430 10751,106,N,350300,110700
0070NV ,TR,"Sandwell
Grand Union Canal",West Mids,150,SP006896,SP00678969,,,,18/07/2000,18/11/2009,O,O,O,N,N,,035,N,400600,289600
0071,WE,"Benville Bridge
River Frome tributary",Dorset,150,ST543040,ST 54405 04073,30/09/1977,18/10/1984,31/10/1991,04/10/2000,08/11/2009,N,N,N,N,N,,111,N,354300,104000
0071NV ,TR,"Winson Green
Grand Union Canal",West Mids,140,SP042879,SP04308789,,,,10/07/2000,16/11/2009,O,O,O,N,N,,035,N,404200,287900
0072,WE,"Sandhills
River Frome",Dorset,100,ST585004,ST 58506 00422,30/09/1977,18/10/1984,31/10/1991,04/10/2000,08/11/2009,N,N,N,N,P,ST 58525 00407,111,N,358500,100400
0072NV ,TR,"Grand Union Canal
Birmingham Centre",West Mids,100,SP081872,SP08158721,,,,13/07/2000,16/11/2009,O,O,O,N,N,,035,N,408100,287200
0073,WE,"Applins Farm
Fontmell Brook",Dorset,50,ST841155,ST 84094 15573,05/10/1977,25/10/1984,06/11/1991,15/01/2001,10/11/2009,N,N,N,P,P,ST 84054 15598,112,N,384100,115500
0073NV ,TR,"Birmingham
Grand Union Canal",West Mids,112,SP124842,SP12428424,,,,13/07/2000,16/11/2009,O,O,O,N,N,,035,N,412400,284200
0074,WE,"Hod Hill
River Iwerne",Dorset,50,ST862108, ST 86387 10909,05/10/1977,24/10/1984,05/11/1991,15/01/2001,30/10/2009,N,N,N,N,P,ST 86373 10734,112,N,386200,110800
0074NV ,TR,"Nuneaton
Coventry Canal",Warwicks,90,SP353925,SP35319250,,,,18/05/2000,11/11/2009,O,O,O,N,P,SP35319250,037,N,435300,292500
0075,WE,"Milton Abbas
River Piddle tributary",Dorset,100,ST804007,ST 80472 00865,05/10/1977,29/10/1984,03/11/1991,14/10/2000,09/11/2009,N,N,N,N,P,ST 80430 00915,111,N,380400,100700
0075NV ,SE,"Coventry
Coventry Canal",Warwicks,0,SP338807,SP33868068,,,,24/05/2000,10/11/2009,O,O,O,N,N,,032,N,433800,280700
0076,WE,"Bramblecombe
Devils Brook",Dorset,100,ST774002,ST 77476 00288,05/10/1977,18/10/1984,03/11/1991,16/10/2000,09/11/2009,N,N,P,N,P,ST 77539 00197,111,N,377400,100200
0076NV ,SE,"Coventry
Coventry Canal",Warwicks,85,SP350839,SP35078396,,,,26/05/2000,10/11/2009,O,O,O,N,P,SP35078396,032,N,435000,283900
0077,WE,"Alton Mill
River Piddle",Dorset,110,ST702013,ST 70273 01363,05/10/1977,29/10/1984,03/11/1991,14/10/2000,09/11/2009,N,N,N,N,P,ST 70263 01155,111,N,370200,101300
0077NV,SE,"Coventry
River Sowe",Warwicks,84,SP361818,SP36118184,,,,24/05/2000,10/11/2009,O,O,O,N,N,,032,N,436100,281800
0078,WE,"Sackeld Bridge
River Divelish",Dorset,63,ST771120,ST 77058 12065,06/10/1977,26/10/1984,04/11/1991,20/10/2000,09/11/2009,N,N,P,P,P,ST 77058 12065,112,N,377100,112000
0078NV ,SE,"Coventry
River Sherbourne",West Mids,80,SP317792,SP31747930,,,,24/05/2000,10/11/2009,O,O,O,N,N,,032,N,431700,279200
0079,WE,"Twofolds Bridge
River Lydden",Dorset,55,ST750137,ST 75081 13752,06/10/1977,26/10/1984,04/11/1991,24/10/2000,09/11/2009,N,N,P,P,P,ST 75081 13752,112,N,375000,113700
0079NV ,SE,"Redditch
River Arrow",Worcs,80,SP055676,SP05616764,,,,25/05/2000,26/10/2009,O,O,O,N,P,SP05806748,032,N,405500,267600
0080,WE,"Warr Bridge
Caundle Brook",Dorset,58,ST732143,ST 73313 14329,06/10/1977,30/10/1984,04/11/1991,24/10/2000,09/11/2009,O,O,O,N,P,ST 73170 14321,112,N,373200,114300
